compound_name,chembl_id,found
Thapsigargin,CHEMBL96926,True
Enoxacin,CHEMBL826,True
6-shogaol,,False
"Methyl 3,4-dihydroxybenzoate",,False
Alpha-santalol,,False
Beta-santalol,,False
5-octanoyl salicylic acid,,False
Sesamolin,CHEMBL2059646,True
Minocycline,CHEMBL1434,True
Carnosic acid,CHEMBL484853,True
CGP37157,,False
Tanespimycin,CHEMBL109480,True
Isoprenol,,False
Paxilline,CHEMBL410063,True
Felbinac,CHEMBL413965,True
BIA 10-2639,,False
KC01,,False
KT172,,False
BIA 10-2474,,False
ABC44,,False
URB597,,False
Palmostatin M,,False
KT203,,False
KLH45b,,False
Carnosol,CHEMBL218693,True
Thymine,CHEMBL993,True
Orotate,,False
Cytidine,CHEMBL95606,True
Anisomycin,CHEMBL423192,True
Azacytidine,,False
Metamizole,CHEMBL461522,True
Alsterpaullone,CHEMBL50894,True
Monorden,,False
Hypotaurine,CHEMBL1256480,True
Nordihydroguaiaretic acid,CHEMBL52,True
Theophylline,CHEMBL1355736,True
Nobiletin,CHEMBL76447,True
Phosphatidylserine,,False
NP1,,False
Mifepristone,CHEMBL1276308,True
FW1256,,False
Tectochrysin,,False
Verapamil,CHEMBL6966,True
Uric acid,CHEMBL792,True
Lovastin,,False
Simvastatin,CHEMBL1064,True
Arecoline,CHEMBL7303,True
Astragaloside IV,,False
Secoisolariciresinol Diglucoside,,False
Prenol,,False
D-xylitol,,False
Cannabidiol,CHEMBL190461,True
Tetracycline HCL,,False
Sappanone A,CHEMBL249002,True
Berberine,CHEMBL295124,True
IP6,,False
3-Morpholinosydnonimine hydrochloride,,False
Bupivacaine Hydrochloride,CHEMBL1200396,True
Nafadotride,CHEMBL286252,True
Tetraethylammonium chloride,CHEMBL434435,True
Levosulpiride,CHEMBL267044,True
Mycophenolic acid,CHEMBL866,True
Sulindac Sulfide,CHEMBL18797,True
Thiostrepton,CHEMBL1236460,True
NSC666076,,False
Wortmannin,CHEMBL428496,True
SR27897,,False
3-methoxycatechol,CHEMBL1518159,True
Pirenperone,CHEMBL18331,True
DTT,,False
Eserine hemisulfate salt,,False
JS-K,,False
Kanamycin A sulfate,,False
Lomefloxacin Hydrochloride,CHEMBL1728,True
Lorglumide Sodium,CHEMBL1255589,True
"3,4'-Dihydroxyflavone",,False
Phenoxybenzamine Hydrochloride,CHEMBL1200787,True
Antalarmin,CHEMBL296641,True
Carvedilol,CHEMBL723,True
Flunarizine hydrochloride,CHEMBL552659,True
Amikacin hydrate,,False
Amlexanox,CHEMBL1096,True
Dofetilide,CHEMBL473,True
Eserine,,False
Itraconazole,CHEMBL64391,True
Memantine Hydrochloride,CHEMBL1699,True
Tetramethylpyrazine,,False
AEG 3482,,False
Promazine Hydrochloride,CHEMBL1200469,True
Tetracaine HCl,,False
Clofilium Tosylate,,False
Gedunin,CHEMBL465226,True
Alln,,False
Cetylpyridinium chloride,CHEMBL2003538,True
Fluspirilene,CHEMBL46516,True
PNU-74654,,False
Lamotrigine,CHEMBL741,True
Ononetin,CHEMBL241858,True
Viramune,,False
ZD7114 hydrochloride,,False
Zomepirac sodium,CHEMBL3989403,True
L-Carnitine,,False
AZD2281,,False
Metolazone,CHEMBL878,True
Hispidol,,False
Podofilox,CHEMBL61,True
Nicolsamide,,False
Chrysin,CHEMBL117,True
6-Hydroxyflavone,CHEMBL138649,True
Estradiol valerate,CHEMBL1511,True
Rebaudioside A,CHEMBL430341,True
Sulforaphane,CHEMBL48802,True
STX64,,False
HF,,False
Trilobatin,,False
Ferulic Acid,,False
Triiodothyronine,,False
"7,8-Dihydroxyflavone",CHEMBL75267,True
"6,7-Dihydroxyflavone",,False
Floxuridine,CHEMBL917,True
ANASTROZOLE,CHEMBL1399,True
CARBARIL,CHEMBL46917,True
VALPROATE SODIUM,CHEMBL433,True
VENLAFAXINE HYDROCHLORIDE,CHEMBL1201066,True
OMEGA-3-ACID ETHYL ESTERS,CHEMBL1200711,True
CINOXACIN,CHEMBL1208,True
TETRABENAZINE,CHEMBL117785,True
BETAMETHASONE BENZOATE,CHEMBL1200376,True
VONOPRAZAN,CHEMBL2079130,True
IPTACOPAN,CHEMBL4594448,True
VALRUBICIN,CHEMBL1096885,True
SULFAMETHOXYPYRIDAZINE,CHEMBL268869,True
LEVOBUPIVACAINE,CHEMBL1201193,True
BUTOCONAZOLE NITRATE,CHEMBL1200398,True
LEVALLORPHAN TARTRATE,CHEMBL2062276,True
CEFONICID,CHEMBL1601,True
CLOPIDOGREL BISULFATE,CHEMBL1083385,True
