compound_name,smiles,mol_weight,source
ETRETINATE,CCOC(=O)/C=C(C)/C=C/C=C(C)/C=C/c1c(C)cc(OC)c(C)c1C,354.49,chembl
NEVIRAPINE,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,266.30,chembl
DRONABINOL,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,314.47,chembl
MITOXANTRONE,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,444.49,chembl
DOPAMINE,NCCc1ccc(O)c(O)c1,153.18,chembl
HYDROXYUREA,NC(=O)NO,76.05,chembl
PODOFILOX,COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC,414.41,chembl
ISONIAZID,NNC(=O)c1ccncc1,137.14,chembl
THALIDOMIDE,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,258.23,chembl
KETOROLAC,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,255.27,chembl
SOTALOL,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,272.37,chembl
GLYBURIDE,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,494.01,chembl
HEXESTROL,CC[C@H](c1ccc(O)cc1)[C@@H](CC)c1ccc(O)cc1,270.37,chembl
DOFETILIDE,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,441.58,chembl
DACARBAZINE,CN(C)/N=N/c1[nH]cnc1C(N)=O,182.19,chembl
ADENOSINE,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,267.25,chembl
THIORIDAZINE,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,370.59,chembl
LANSOPRAZOLE,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,369.37,chembl
IRINOTECAN,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,586.69,chembl
MORPHINE,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,285.34,chembl
CODEINE,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,299.37,chembl
CHLORPROMAZINE,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,318.87,chembl
DESIPRAMINE,CNCCCN1c2ccccc2CCc2ccccc21,266.39,chembl
AMINOGLUTETHIMIDE,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,232.28,chembl
CROMOLYN SODIUM,O=C([O-])c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)[O-])cc(=O)c34)cccc2o1.[Na+].[Na+],512.33,chembl
CHLOROQUINE,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,319.88,chembl
PAROXETINE,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,329.37,chembl
ETORICOXIB,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,358.85,chembl
LIDOCAINE,CCN(CC)CC(=O)Nc1c(C)cccc1C,234.34,chembl
ETIDOCAINE,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,276.42,chembl
NALOXONE,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,327.38,chembl
RALOXIFENE,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,473.59,chembl
TAMOXIFEN,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,371.52,chembl
BROMOCRIPTINE,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,654.61,chembl
ILOPROST,CC#CCC(C)[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)C[C@H]2C[C@H]1O,360.49,chembl
TOPOTECAN,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,421.45,chembl
RISPERIDONE,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,410.49,chembl
CROMOLYN,O=C(O)c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)O)cc(=O)c34)cccc2o1,468.37,chembl
METOCLOPRAMIDE,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,299.80,chembl
PACLITAXEL,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,853.92,chembl
ALPROSTADIL,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,354.49,chembl
HEXACHLOROPHENE,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,406.91,chembl
CLIOQUINOL,Oc1c(I)cc(Cl)c2cccnc12,305.50,chembl
AGOMELATINE,COc1ccc2cccc(CCNC(C)=O)c2c1,243.31,chembl
CYCLOPHOSPHAMIDE ANHYDROUS,O=P1(N(CCCl)CCCl)NCCCO1,261.09,chembl
CHLORPROPAMIDE,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,276.75,chembl
TIMOLOL,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,316.43,chembl
PINDOLOL,CC(C)NCC(O)COc1cccc2[nH]ccc12,248.33,chembl
CISPLATIN,,300.05,chembl
HYDRALAZINE,NNc1nncc2ccccc12,160.18,chembl
AMPHETAMINE SULFATE,CC(N)Cc1ccccc1.O=S(=O)(O)O,233.29,chembl
AMPHOTERICIN B,C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O,924.09,chembl
HISTAMINE,NCCc1c[nH]cn1,111.15,chembl
MICONAZOLE,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,416.13,chembl
DOCETAXEL ANHYDROUS,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C,807.89,chembl
ZILEUTON,CC(c1cc2ccccc2s1)N(O)C(N)=O,236.30,chembl
TACRINE,Nc1c2c(nc3ccccc13)CCCC2,198.27,chembl
DONEPEZIL,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,379.50,chembl
LOVASTATIN,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,404.55,chembl
OZAGREL,O=C(O)/C=C/c1ccc(Cn2ccnc2)cc1,228.25,chembl
ACETANILIDE,CC(=O)Nc1ccccc1,135.17,chembl
DIMETHYL SULFOXIDE,C[S+](C)[O-],78.14,chembl
CHLORPHENIRAMINE,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,274.80,chembl
PRIMAQUINE,COc1cc(NC(C)CCCN)c2ncccc2c1,259.35,chembl
MECLOFENAMIC ACID,Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,296.15,chembl
PYRILAMINE,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,285.39,chembl
SERTINDOLE,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,440.95,chembl
CARMUSTINE,O=NN(CCCl)C(=O)NCCCl,214.05,chembl
LOMUSTINE,O=NN(CCCl)C(=O)NC1CCCCC1,233.70,chembl
CHLORAMBUCIL,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,304.22,chembl
CYPROHEPTADINE,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,287.41,chembl
INAMRINONE,Nc1cc(-c2ccncc2)c[nH]c1=O,187.20,chembl
DISOPYRAMIDE,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,339.48,chembl
VORINOSTAT,O=C(CCCCCCC(=O)Nc1ccccc1)NO,264.32,chembl
IBUPROFEN,CC(C)Cc1ccc(C(C)C(=O)O)cc1,206.28,chembl
CLOMETACIN,COc1ccc2c(C(=O)c3ccc(Cl)cc3)c(C)n(CC(=O)O)c2c1,357.79,chembl
FLUNITRAZEPAM,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,313.29,chembl
METHOXAMINE,COc1ccc(OC)c(C(O)C(C)N)c1,211.26,chembl
PROPOFOL,CC(C)c1cccc(C(C)C)c1O,178.27,chembl
PIROXICAM,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,331.35,chembl
