name,found,error,cid,smiles,mol_weight
Rizatriptan Benzoate,True,,77997.0,CN(C)CCC1=CNC2=C1C=C(C=C2)CN3C=NC=N3.C1=CC=C(C=C1)C(=O)O,391.5
Oxcarbazepine,True,,34312.0,C1C2=CC=CC=C2N(C3=CC=CC=C3C1=O)C(=O)N,252.27
Triflupromazine hydrochloride,True,,66069.0,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)C(F)(F)F.Cl,388.9
Nocodazole,True,,4122.0,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CS3,301.32
Hydroxyprogesterone caproate,True,,169870.0,CCCCCC(=O)O[C@@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)C(=O)C,428.6
Diphyenyleneiodonium chloride,False,HTTP 404,,,
3230-2939,False,HTTP 404,,,
Chlorhexidine,True,,9552079.0,C1=CC(=CC=C1N/C(=N/C(=NCCCCCCN=C(/N=C(/NC2=CC=C(C=C2)Cl)\N)N)N)/N)Cl,505.4
Supercinnamaldehyde,True,,12480412.0,CC(=O)/C=C\1/C2=CC=CC=C2N(C1=O)C,201.22
Palmatine,True,,19009.0,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)OC)OC)OC,352.4
Gramicidin,False,HTTP 404,,,
Benzalkonium chloride,True,,3014024.0,CCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],354.0
Pinaverium bromide,True,,40703.0,CC1(C2CCC(C1C2)CCOCC[N+]3(CCOCC3)CC4=CC(=C(C=C4Br)OC)OC)C.[Br-],591.4
Dequalinium chloride,True,,10649.0,CC1=[N+](C2=CC=CC=C2C(=C1)N)CCCCCCCCCC[N+]3=C(C=C(C4=CC=CC=C43)N)C.[Cl-].[Cl-],527.6
Butaclamol hydrochloride,True,,37460.0,CC(C)(C)[C@]1(CCN2C[C@@H]3C4=CC=CC=C4CCC5=C3C(=CC=C5)[C@H]2C1)O.Cl,398.0
SKF83959 hydrobromide,True,,11957685.0,CC1=CC(=CC=C1)C2CN(CCC3=C(C(=C(C=C23)O)O)Cl)C.Br,398.7
Sodium Nitroprusside,True,,6604165.0,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.N#[O+].[Na+].[Na+].[Fe+2],261.92
Carbidopa,True,,34359.0,C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)NN,226.23
Tiapride Hydrochloride,True,,5702214.0,CCN(CC)CCNC(=O)C1=C(C=CC(=C1)S(=O)(=O)C)OC.Cl,364.9
NSC 45923 (8-Methyoxypsoralen),False,HTTP 404,,,
Choline Chloride,True,,6209.0,C[N+](C)(C)CCO.[Cl-],139.62
Cefazolin sodium,True,,23675322.0,CC1=NN=C(S1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)CN4C=NN=N4)SC2)C(=O)[O-].[Na+],476.5
Scopolamine N-butylbromide,True,,6852391.0,CCCC[N+]1([C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4)C.[Br-],440.4
Salsalate,True,,5161.0,C1=CC=C(C(=C1)C(=O)OC2=CC=CC=C2C(=O)O)O,258.23
Perphenazine,True,,4748.0,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO,404.0
NSC 11926 (Aristolochic acid I),False,HTTP 404,,,
Cinoxacin,True,,2762.0,CCN1C2=CC3=C(C=C2C(=O)C(=N1)C(=O)O)OCO3,262.22
Nisoldipine,True,,4499.0,CC1=C(C(C(=C(N1)C)C(=O)OCC(C)C)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,388.4
Astemizole,True,,2247.0,COC1=CC=C(C=C1)CCN2CCC(CC2)NC3=NC4=CC=CC=C4N3CC5=CC=C(C=C5)F,458.6
Furosemide,True,,3440.0,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,330.74
IMS2186,True,,24987039.0,CC1=CC2=C(C=C1)OC/C(=C\C3=CC(=C(C=C3)OC)O)/C2=O,296.3
Ethotoin,True,,3292.0,CCN1C(=O)C(NC1=O)C2=CC=CC=C2,204.22
Propantheline Bromide,True,,9279.0,CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC3=CC=CC=C13)C(C)C.[Br-],448.4
Limonin,True,,179651.0,C[C@@]12CC[C@H]3[C@]([C@@]14[C@H](O4)C(=O)O[C@H]2C5=COC=C5)(C(=O)C[C@@H]6[C@@]37COC(=O)C[C@@H]7OC6(C)C)C,470.5
Cryptotanshinone,True,,160254.0,C[C@H]1COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C,296.4
Auraptene,True,,1550607.0,CC(=CCC/C(=C/COC1=CC2=C(C=C1)C=CC(=O)O2)/C)C,298.4
Sulfacetamide,True,,5320.0,CC(=O)NS(=O)(=O)C1=CC=C(C=C1)N,214.24
R(+)-SCH-23390 hydrochloride,True,,11957535.0,CN1CCC2=CC(=C(C=C2[C@H](C1)C3=CC=CC=C3)O)Cl.Cl,324.2
O6-benzylguanine,True,,4578.0,C1=CC=C(C=C1)COC2=NC(=NC3=C2NC=N3)N,241.25
Milnacipran Hydrochloride,True,,163701.0,CCN(CC)C(=O)[C@@]1(C[C@@H]1CN)C2=CC=CC=C2.Cl,282.81
Ziprasidone hydrochloride monohydrate,True,,60853.0,C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54.O.Cl,467.4
Ceoxide beads,False,HTTP 404,,,
Epimedium extract,False,HTTP 404,,,
Rotenone II,False,HTTP 404,,,
Pterostilbene,True,,5281727.0,COC1=CC(=CC(=C1)/C=C/C2=CC=C(C=C2)O)OC,256.30
Phenelzine sulfate,True,,61100.0,C1=CC=C(C=C1)CCNN.OS(=O)(=O)O,234.28
Licochalcone A,True,,5318998.0,CC(C)(C=C)C1=C(C=C(C(=C1)/C=C/C(=O)C2=CC=C(C=C2)O)OC)O,338.4
Ethopropazine Hydrochloride,True,,122824.0,CCN(CC)C(C)CN1C2=CC=CC=C2SC3=CC=CC=C31.Cl,348.9
Deguelin,True,,107935.0,CC1(C=CC2=C(O1)C=CC3=C2O[C@@H]4COC5=CC(=C(C=C5[C@@H]4C3=O)OC)OC)C,394.4
Antimycin A,True,,14957.0,CCCCCC[C@@H]1[C@H]([C@@H](OC(=O)[C@H]([C@H](OC1=O)C)NC(=O)C2=C(C(=CC=C2)NC=O)O)C)OC(=O)CC(C)C,548.6
16(17)-epoxy-21-acetoxy-5-pregnenolone,False,HTTP 404,,,
Propafenone hydrochloride,True,,36708.0,CCCNCC(COC1=CC=CC=C1C(=O)CCC2=CC=CC=C2)O.Cl,377.9
ISRIB,True,,1011240.0,C1CC(CCC1NC(=O)COC2=CC=C(C=C2)Cl)NC(=O)COC3=CC=C(C=C3)Cl,451.3
Scutellarein,True,,5281697.0,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O)O,286.24
Zearalenone,True,,5281576.0,C[C@H]1CCCC(=O)CCC/C=C/C2=C(C(=CC(=C2)O)O)C(=O)O1,318.4
N-acetyl serine,False,HTTP 404,,,
Glutathione,True,,124886.0,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N,307.33
