compound_name,smiles
creatine,CN(CC(=O)O)C(=N)N
crocus sativus extract,
cryptotanshinone,CC1COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C
cu701,
cucurbitacin b,CC(=O)OC(C)(C)C=CC(=O)C(C)(C1C(CC2(C1(CC(=O)C3(C2CC=C4C3CC(C(=O)C4(C)C)O)C)C)C)O)O
cupric chloride,Cl[Cu]Cl
cupric citrate,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])[O-].[Cu+2].[Cu+2]
cupric formate,C(=O)[O-].C(=O)[O-].[Cu+2]
cupric gluconate,C(C(C(C(C(C(=O)[O-])O)O)O)O)O.C(C(C(C(C(C(=O)[O-])O)O)O)O)O.[Cu+2]
cupric glycinate,C(C(=O)[O-])N.C(C(=O)[O-])N.[Cu+2]
cupric lactate,CC(C(=O)[O-])O.CC(C(=O)[O-])O.[Cu+2]
cupric sulfate,[O-]S(=O)(=O)[O-].[Cu+2]
curare,
curcumin,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O
cyclic adenosine monophosphate,C1C2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O1)O
cyclizine hcl,CN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=CC=C3.Cl
cycloheximide,CC1CC(C(=O)C(C1)C(CC2CC(=O)NC(=O)C2)O)C
cyclophosphamide,C1CNP(=O)(OC1)N(CCCl)CCCl
cyclosporin a,CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C
cynomorium songaricum extract,
cyproterone acetate,CC(=O)C1(CCC2C1(CCC3C2C=C(C4=CC(=O)C5CC5C34C)Cl)C)OC(=O)C
cysteine,C(C(C(=O)O)N)S
cysteine hydrochloride,C(C(C(=O)O)N)S.Cl
cytidine,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O
d-alanine,CC(C(=O)O)N
d-allulose,C1C(C(C(C(O1)(CO)O)O)O)O
d-aspartate,C(C(C(=O)O)N)C(=O)O
d-beta-hydroxybutyrate,CC(CC(=O)O)O
d-erythro-mapp,CCCCCCCCCCCCCC(=O)NC(C)C(C1=CC=CC=C1)O
d-glucosamine,C(C1C(C(C(C(O1)O)N)O)O)O
d-glutamate,C(CC(=O)O)C(C(=O)O)N
d-xylitol,C(C(C(C(CO)O)O)O)O
d609,C1CC2C(C1)C3CC2CC3OC(=S)[S-].[K+]
dafachronic acid,CC(CCCC(C)C(=O)O)C1CCC2C1(CCC3C2CCC4C3(CCC(=O)C4)C)C
dafadine-a,CC1=C(C(=CC=C1)C)OCC2=CC(=NO2)C(=O)N3CCC(CC3)C4=CC=NC=C4
damaurone d,
damnacanthus officinarum leaf extract,
damnacanthus officinarum root extract,
danazol,CC12CCC3C(C1CCC2(C#C)O)CCC4=CC5=C(CC34C)C=NO5
daph,C1=CC=C(C=C1)NC2=C(C=C3C(=C2)C(=O)NC3=O)NC4=CC=CC=C4
dapsone,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N
darapladib,CCN(CC)CCN(CC1=CC=C(C=C1)C2=CC=C(C=C2)C(F)(F)F)C(=O)CN3C4=C(CCC4)C(=O)N=C3SCC5=CC=C(C=C5)F
dauer-inducing pheromone,
deferoxamine,CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O
deguelin,CC1(C=CC2=C(O1)C=CC3=C2OC4COC5=CC(=C(C=C5C4C3=O)OC)OC)C
